,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2014-01-16 21:00:00+00:00,0.022918762296965187,-0.0031796430000000653,-0.07107841471104226,-0.0014621803801135869,0.10909245810034549,-0.035993048756471885,0.0,15956.24714,3980.16,3980.16,0.0,0.1996427928086545,3980.16,3980.16,1,-0.004545325725792008,0.20265676547343633,0.1996427928086545,[],2014-01-16 21:00:00+00:00,2014-01,2014-01-16 14:31:00+00:00,15.599999999998545,19936.40714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 331.68, 'amount': 12}]",0.0007831007995993122,-3.1724584884007445,0.0,0.0,0,-3.3412549057217342,15956.24714,3964.56,3964.56,11,[],0.0
2014-01-17 21:00:00+00:00,0.02208544999019192,-0.004163643000000161,-0.08677142447543074,-0.005685328333842166,0.1057134215914565,-0.029440335326793528,0.0,15956.24714,3960.4800000000005,3960.4800000000005,0.0,0.1988519485235063,3960.4800000000005,3960.4800000000005,1,-0.004749205771540026,0.20265676547343633,0.1988519485235063,[],2014-01-17 21:00:00+00:00,2014-01,2014-01-17 14:31:00+00:00,-19.68000000000029,19916.72714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 330.04, 'amount': 12}]",-0.0009871387488127326,-3.9564359004290783,0.0,0.0,0,-4.098494438089317,15956.24714,3980.16,3980.16,12,[],0.0
2014-01-21 21:00:00+00:00,0.021239720922020904,-0.004961643000000127,-0.09312874847705876,-0.0027613352470974295,0.10231092770669321,-0.03167018962431208,0.0,15956.24714,3944.5199999999995,3944.5199999999995,0.0,0.19820944450285144,3944.5199999999995,3944.5199999999995,1,-0.0055467365387304925,0.20265676547343633,0.19820944450285144,[],2014-01-21 21:00:00+00:00,2014-01,2014-01-21 14:31:00+00:00,-15.959999999999127,19900.76714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 328.71, 'amount': 12}]",-0.000801336479021475,-4.528861473652499,0.0,0.0,0,-4.627904767071277,15956.24714,3960.4800000000005,3960.4800000000005,13,[],0.0
2014-01-22 21:00:00+00:00,0.025011476767502084,-0.001949643000000112,-0.03508797621046755,-0.0021116661686481075,0.09836250426976624,-0.02626976329596614,0.0,15956.24714,4004.76,4004.76,0.0,0.20062915522808636,4004.76,4004.76,1,-0.0055467365387304925,0.20265676547343633,0.20062915522808636,[],2014-01-22 21:00:00+00:00,2014-01,2014-01-22 14:31:00+00:00,60.2400000000016,19961.00714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 333.73, 'amount': 12}]",0.003027018987570518,-1.3927435307253349,0.0,0.0,0,-1.739199479661277,15956.24714,3944.5199999999995,3944.5199999999995,14,[],0.0
2014-01-23 21:00:00+00:00,0.13818402192806062,0.031044356999999634,0.5575931095563571,-0.010287685609883579,0.10037699430436606,-0.4695747310626735,0.0,15956.24714,4664.64,4664.64,0.0,0.22620947238257377,4664.64,4664.64,1,-0.0055467365387304925,0.22620947238257377,0.22620947238257377,[],2014-01-23 21:00:00+00:00,2014-01,2014-01-23 14:31:00+00:00,659.8799999999974,20620.88714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 388.72, 'amount': 12}]",0.033058452179883124,3.783865324626376,0.0,0.0,0,27.02178432822508,15956.24714,4004.76,4004.76,15,[],0.0
2014-01-24 21:00:00+00:00,0.1342655061618171,0.029460356999999604,0.44252773350559305,-0.03140397674098816,0.12700378885261157,-0.20089570872148838,0.0,15956.24714,4632.96,4632.96,0.0,0.22501886393669068,4632.96,4632.96,1,-0.0055467365387304925,0.22620947238257377,0.22501886393669068,[],2014-01-24 21:00:00+00:00,2014-01,2014-01-24 14:31:00+00:00,-31.68000000000029,20589.20714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 386.08, 'amount': 12}]",-0.0015363063569922009,3.4706869927173876,0.0,0.0,0,23.651374140418458,15956.24714,4664.64,4664.64,16,[],0.0
2014-01-27 21:00:00+00:00,0.13124262790499064,0.026550356999999636,0.34517261235517926,-0.036168892860788615,0.12349690564021532,-0.18574769055583418,0.0,15956.24714,4574.76,4574.76,0.0,0.22282199644688253,4574.76,4574.76,1,-0.0055467365387304925,0.22620947238257377,0.22282199644688253,[],2014-01-27 21:00:00+00:00,2014-01,2014-01-27 14:31:00+00:00,-58.19999999999709,20531.00714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 381.23, 'amount': 12}]",-0.002826723710352641,3.0224946347982127,0.0,0.0,0,18.034585891575038,15956.24714,4632.96,4632.96,17,[],0.0
2014-01-28 21:00:00+00:00,0.13677664838728779,0.04187435699999931,0.7348436129410165,-0.030429564875613435,0.12357497530128003,-0.07555152763676923,0.0,15956.24714,4881.24,4881.24,0.0,0.2342528140367697,4881.24,4881.24,1,-0.0055467365387304925,0.2342528140367697,0.2342528140367697,[],2014-01-28 21:00:00+00:00,2014-01,2014-01-28 14:31:00+00:00,306.4799999999959,20837.487139999997,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 406.77, 'amount': 12}]",0.014927665160803905,4.267027101110313,0.0,0.0,0,27.303282877188355,15956.24714,4574.76,4574.76,18,[],0.0
2014-01-29 21:00:00+00:00,0.13469109333258647,0.03806435699999944,0.6288491092068524,-0.03974246342766152,0.12350734981156462,-0.03030840171583744,0.0,15956.24714,4805.04,4805.04,0.0,0.23144229775341377,4805.04,4805.04,1,-0.0055467365387304925,0.2342528140367697,0.23144229775341377,"[{'dt': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'stop': None, 'commission': 0, 'sid': Equity(8 [AAPL]), 'created': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'status': 0, 'limit_reached': False, 'filled': 0, 'stop_reached': False, 'reason': None, 'amount': 8, 'id': 'a8e027d057524c25a47dc7e99170c17c', 'limit': None}]",2014-01-29 21:00:00+00:00,2014-01,2014-01-29 14:31:00+00:00,-76.19999999999709,20761.28714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 400.42, 'amount': 12}]",-0.003656870883136487,3.7449444224517974,0.0,0.0,0,20.418962970993263,15956.24714,4881.24,4881.24,19,[],0.0
2014-01-30 21:00:00+00:00,0.13110484877761522,0.04051400059999932,0.6485312864339563,-0.02956305367765899,0.12839297523007565,-0.023091508923794836,-4000.263127999999,11955.984011999999,8854.296,8854.296,0.0,0.4254770236101713,8854.296,8854.296,2,-0.0055467365387304925,0.4254770236101713,0.4254770236101713,"[{'dt': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'stop': None, 'commission': 0.008, 'sid': Equity(8 [AAPL]), 'created': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'status': 1, 'limit_reached': False, 'filled': 8, 'stop_reached': False, 'reason': None, 'amount': 8, 'id': 'a8e027d057524c25a47dc7e99170c17c', 'limit': None}]",2014-01-30 21:00:00+00:00,2014-01,2014-01-30 14:31:00+00:00,48.9928719999989,20810.280012,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 404.67, 'amount': 12}, {'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 499.782, 'amount': 8}]",0.0023598186215345596,3.881807920681138,0.0,0.0,0,21.13685750481859,15956.24714,4805.04,4805.04,20,"[{'price': 500.031891, 'commission': None, 'dt': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'order_id': 'a8e027d057524c25a47dc7e99170c17c', 'sid': Equity(8 [AAPL]), 'amount': 8}]",0.0
